,Rank,Step,Value,Metric,Type,Agent
1179,0,4700,0.926513671875,Accuracy,Reconstruction,B
1183,0,4750,0.9169921875,Accuracy,Reconstruction,B
1187,0,4800,0.927001953125,Accuracy,Reconstruction,B
1191,0,4850,0.930908203125,Accuracy,Reconstruction,B
1195,0,4900,0.925537109375,Accuracy,Reconstruction,B
1199,0,4950,0.91748046875,Accuracy,Reconstruction,B
1203,0,0,0.09619140625,Accuracy,Reconstruction,C
1207,0,50,0.7255859375,Accuracy,Reconstruction,C
1211,0,100,0.851318359375,Accuracy,Reconstruction,C
1215,0,150,0.8623046875,Accuracy,Reconstruction,C
1219,0,200,0.880126953125,Accuracy,Reconstruction,C
1223,0,250,0.89453125,Accuracy,Reconstruction,C
1227,0,300,0.87939453125,Accuracy,Reconstruction,C
1231,0,350,0.888427734375,Accuracy,Reconstruction,C
1235,0,400,0.893310546875,Accuracy,Reconstruction,C
1239,0,450,0.89794921875,Accuracy,Reconstruction,C
1243,0,500,0.902099609375,Accuracy,Reconstruction,C
1247,0,550,0.8984375,Accuracy,Reconstruction,C
1251,0,600,0.901611328125,Accuracy,Reconstruction,C
1255,0,650,0.895263671875,Accuracy,Reconstruction,C
1259,0,700,0.897705078125,Accuracy,Reconstruction,C
1263,0,750,0.913330078125,Accuracy,Reconstruction,C
1267,0,800,0.898681640625,Accuracy,Reconstruction,C
1271,0,850,0.904296875,Accuracy,Reconstruction,C
1275,0,900,0.90087890625,Accuracy,Reconstruction,C
1279,0,950,0.90625,Accuracy,Reconstruction,C
1283,0,1000,0.91162109375,Accuracy,Reconstruction,C
1287,0,1050,0.908447265625,Accuracy,Reconstruction,C
1291,0,1100,0.91064453125,Accuracy,Reconstruction,C
1295,0,1150,0.904296875,Accuracy,Reconstruction,C
1299,0,1200,0.907958984375,Accuracy,Reconstruction,C
1303,0,1250,0.9130859375,Accuracy,Reconstruction,C
1307,0,1300,0.9091796875,Accuracy,Reconstruction,C
1311,0,1350,0.9140625,Accuracy,Reconstruction,C
1315,0,1400,0.90966796875,Accuracy,Reconstruction,C
1319,0,1450,0.913330078125,Accuracy,Reconstruction,C
1323,0,1500,0.909912109375,Accuracy,Reconstruction,C
1327,0,1550,0.920166015625,Accuracy,Reconstruction,C
1331,0,1600,0.91259765625,Accuracy,Reconstruction,C
1335,0,1650,0.919921875,Accuracy,Reconstruction,C
1339,0,1700,0.913330078125,Accuracy,Reconstruction,C
1343,0,1750,0.914794921875,Accuracy,Reconstruction,C
1347,0,1800,0.9130859375,Accuracy,Reconstruction,C
1351,0,1850,0.912353515625,Accuracy,Reconstruction,C
1355,0,1900,0.916748046875,Accuracy,Reconstruction,C
1359,0,1950,0.920166015625,Accuracy,Reconstruction,C
1363,0,2000,0.919677734375,Accuracy,Reconstruction,C
1367,0,2050,0.914794921875,Accuracy,Reconstruction,C
1371,0,2100,0.923583984375,Accuracy,Reconstruction,C
1375,0,2150,0.91162109375,Accuracy,Reconstruction,C
1379,0,2200,0.922119140625,Accuracy,Reconstruction,C
1383,0,2250,0.90771484375,Accuracy,Reconstruction,C
1387,0,2300,0.923095703125,Accuracy,Reconstruction,C
1391,0,2350,0.925537109375,Accuracy,Reconstruction,C
1395,0,2400,0.9140625,Accuracy,Reconstruction,C
1399,0,2450,0.919677734375,Accuracy,Reconstruction,C
1403,0,2500,0.91748046875,Accuracy,Reconstruction,C
1407,0,2550,0.93115234375,Accuracy,Reconstruction,C
1411,0,2600,0.923583984375,Accuracy,Reconstruction,C
1415,0,2650,0.919921875,Accuracy,Reconstruction,C
